transcript	l_tr	l_utr5	l_cds	l_utr3
YBL079W_mRNA	4779	97	4506	176
YBL080C_mRNA	1896	97	1623	176
YBL081W_mRNA	1377	97	1104	176
YBL082C_mRNA	1647	97	1374	176
YBL083C_mRNA	696	97	423	176
YBL084C_mRNA	2547	97	2274	176
YBL085W_mRNA	3213	97	2940	176
YBL086C_mRNA	1563	115	1398	50
YBL087C_mRNA	639	109	411	119
YBL088C_mRNA	8634	97	8361	176
YBL089W_mRNA	1650	97	1377	176
YBL090W_mRNA	704	47	531	126
YBL091C_mRNA	1463	51	1263	149
YBL091C-A_mRNA	798	97	525	176
YBL092W_mRNA	643	97	390	156
YBL093C_mRNA	909	110	660	139
YBL094C_mRNA	603	97	330	176
YBL095W_mRNA	957	26	810	121
YBL096C_mRNA	579	97	306	176
YBL097W_mRNA	2535	97	2262	176
YBL098W_mRNA	1653	97	1380	176
YBL099W_mRNA	2224	320	1635	269
YBL100C_mRNA	585	97	312	176
YBL100W-C_mRNA	390	97	117	176
YBL101C_mRNA	3624	97	3351	176
YBL102W_mRNA	941	118	645	178
YBL103C_mRNA	1731	97	1458	176
YBL104C_mRNA	3212	4	3114	94
YBL105C_mRNA	3726	97	3453	176
YBL106C_mRNA	3303	97	3030	176
YBL107C_mRNA	745	11	588	146
YBL107W-A_mRNA	375	97	102	176
YBL108C-A_mRNA	399	97	126	176
YBL108W_mRNA	576	97	303	176
YBL109W_mRNA	606	97	333	176
YBL111C_mRNA	2274	97	2001	176
YBL112C_mRNA	588	97	315	176
YBL113C_mRNA	2649	97	2376	176
YBL113W-A_mRNA	753	97	480	176
YBR001C_mRNA	2551	139	2340	72
YBR002C_mRNA	1131	97	858	176
YBR003W_mRNA	1569	20	1419	130
YBR004C_mRNA	1452	57	1299	96
YBR005W_mRNA	912	97	639	176
YBR006W_mRNA	1764	97	1491	176
YBR007C_mRNA	2481	97	2208	176
YBR008C_mRNA	1917	97	1644	176
YBR009C_mRNA	504	44	309	151
YBR010W_mRNA	643	28	408	207
YBR011C_mRNA	984	31	861	92
YBR012C_mRNA	690	97	417	176
YBR013C_mRNA	660	97	387	176
YBR014C_mRNA	882	97	609	176
YBR015C_mRNA	2055	137	1791	127
YBR016W_mRNA	662	36	384	242
YBR017C_mRNA	2896	62	2754	80
YBR018C_mRNA	1371	97	1098	176
YBR019C_mRNA	2370	97	2097	176
YBR020W_mRNA	1857	97	1584	176
YBR021W_mRNA	2151	111	1899	141
YBR022W_mRNA	671	19	531	121
YBR023C_mRNA	3768	97	3495	176
YBR024W_mRNA	1235	113	903	219
YBR025C_mRNA	1559	78	1182	299
YBR026C_mRNA	1413	97	1140	176
YBR027C_mRNA	603	97	330	176
YBR028C_mRNA	1848	97	1575	176
YBR029C_mRNA	1644	97	1371	176
YBR030W_mRNA	1802	66	1656	80
YBR031W_mRNA	1285	60	1086	139
YBR032W_mRNA	573	97	300	176
YBR033W_mRNA	3030	97	2757	176
YBR034C_mRNA	1276	46	1044	186
YBR035C_mRNA	852	35	684	133
YBR036C_mRNA	1503	97	1230	176
YBR037C_mRNA	1158	97	885	176
YBR038W_mRNA	3129	51	2889	189
YBR039W_mRNA	1193	79	933	181
YBR040W_mRNA	1167	97	894	176
YBR041W_mRNA	2280	97	2007	176
YBR042C_mRNA	1464	97	1191	176
YBR043C_mRNA	2340	97	2067	176
YBR044C_mRNA	1868	91	1716	61
YBR045C_mRNA	2190	97	1917	176
YBR046C_mRNA	1275	97	1002	176
YBR047W_mRNA	798	97	525	176
YBR048W_mRNA	795	94	468	233
YBR049C_mRNA	2809	131	2430	248
YBR050C_mRNA	1287	97	1014	176
YBR051W_mRNA	621	97	348	176
YBR052C_mRNA	776	94	630	52
YBR053C_mRNA	1347	97	1074	176
YBR054W_mRNA	1716	320	1032	364
YBR055C_mRNA	2970	97	2697	176
YBR056C-B_mRNA	429	97	156	176
YBR056W_mRNA	1610	60	1503	47
YBR056W-A_mRNA	723	27	198	498
YBR057C_mRNA	1338	99	1098	141
YBR058C_mRNA	2616	97	2343	176
YBR058C-A_mRNA	486	59	240	187
YBR059C_mRNA	3597	97	3324	176
YBR060C_mRNA	1988	92	1860	36
YBR061C_mRNA	1135	24	930	181
YBR062C_mRNA	813	97	540	176
YBR063C_mRNA	1485	97	1212	176
YBR064W_mRNA	699	97	426	176
YBR065C_mRNA	1365	97	1092	176
YBR066C_mRNA	933	97	660	176
YBR067C_mRNA	856	78	630	148
YBR068C_mRNA	2109	77	1827	205
YBR069C_mRNA	2084	115	1857	112
YBR070C_mRNA	814	64	711	39
YBR071W_mRNA	1012	111	633	268
YBR072C-A_mRNA	432	97	159	176
YBR072W_mRNA	915	97	642	176
YBR073W_mRNA	3147	97	2874	176
YBR074W_mRNA	3033	5	2928	100
YBR076C-A_mRNA	537	97	264	176
YBR076W_mRNA	1335	97	1062	176
YBR077C_mRNA	759	97	486	176
YBR078W_mRNA	1627	176	1287	164
YBR079C_mRNA	2985	25	2892	68
YBR080C_mRNA	2492	42	2274	176
YBR081C_mRNA	4269	97	3996	176
YBR082C_mRNA	704	112	444	148
YBR083W_mRNA	1731	97	1458	176
YBR084C-A_mRNA	797	128	567	102
YBR084W_mRNA	3158	69	2925	164
YBR085C-A_mRNA	730	101	255	374
YBR085W_mRNA	1199	109	921	169
YBR086C_mRNA	3239	280	2838	121
YBR087W_mRNA	1150	30	1062	58
YBR088C_mRNA	918	48	774	96
YBR089C-A_mRNA	597	124	297	176
YBR089W_mRNA	870	97	597	176
YBR090C_mRNA	639	97	366	176
YBR091C_mRNA	447	27	327	93
YBR092C_mRNA	1571	29	1401	141
YBR093C_mRNA	1528	41	1401	86
YBR094W_mRNA	2401	51	2259	91
YBR095C_mRNA	1563	97	1290	176
YBR096W_mRNA	843	82	690	71
YBR097W_mRNA	4635	97	4362	176
YBR098W_mRNA	2346	97	2073	176
YBR099C_mRNA	654	97	381	176
YBR101C_mRNA	998	50	870	78
YBR102C_mRNA	2445	64	2259	122
YBR103C-A_mRNA	414	97	141	176
YBR103W_mRNA	1878	97	1605	176
YBR104W_mRNA	1186	88	987	111
YBR105C_mRNA	1237	31	1086	120
YBR106W_mRNA	782	75	564	143
YBR107C_mRNA	1008	97	735	176
YBR108W_mRNA	3114	97	2841	176
YBR109C_mRNA	728	86	441	201
YBR109W-A_mRNA	495	97	222	176
YBR110W_mRNA	1620	97	1347	176
YBR111C_mRNA	761	8	693	60
YBR111W-A_mRNA	490	41	288	161
YBR112C_mRNA	3171	97	2898	176
YBR113W_mRNA	753	97	480	176
YBR114W_mRNA	2515	88	2370	57
YBR115C_mRNA	4449	97	4176	176
YBR116C_mRNA	798	97	525	176
YBR117C_mRNA	2316	97	2043	176
YBR118W_mRNA	1579	112	1374	93
YBR119W_mRNA	1087	70	894	123
YBR120C_mRNA	632	70	486	76
YBR121C_mRNA	2274	97	2001	176
YBR121C-A_mRNA	429	97	156	176
YBR122C_mRNA	786	44	531	211
YBR123C_mRNA	2088	68	1947	73
YBR124W_mRNA	630	97	357	176
YBR125C_mRNA	1452	97	1179	176
YBR126C_mRNA	1712	107	1485	120
YBR126W-A_mRNA	477	97	204	176
YBR126W-B_mRNA	414	97	141	176
YBR127C_mRNA	1762	64	1551	147
YBR128C_mRNA	1305	97	1032	176
YBR129C_mRNA	1094	35	984	75
YBR130C_mRNA	1450	69	1275	106
YBR131C-A_mRNA	360	97	87	176
YBR131W_mRNA	2385	97	2112	176
YBR132C_mRNA	2061	97	1788	176
YBR133C_mRNA	2754	97	2481	176
YBR134W_mRNA	672	97	399	176
YBR135W_mRNA	723	97	450	176
YBR136W_mRNA	7377	97	7104	176
YBR137W_mRNA	781	101	537	143
YBR138C_mRNA	1845	97	1572	176
YBR139W_mRNA	1708	11	1524	173
YBR140C_mRNA	9549	97	9276	176
YBR141C_mRNA	1284	97	1011	176
YBR141W-A_mRNA	366	97	93	176
YBR142W_mRNA	2592	97	2319	176
YBR143C_mRNA	1584	97	1311	176
YBR144C_mRNA	585	97	312	176
YBR145W_mRNA	1219	62	1053	104
YBR146W_mRNA	1111	72	834	205
YBR147W_mRNA	1161	97	888	176
YBR148W_mRNA	2100	97	1827	176
YBR149W_mRNA	1196	59	1032	105
YBR150C_mRNA	3555	97	3282	176
YBR151W_mRNA	1232	146	948	138
YBR152W_mRNA	1146	97	873	176
YBR153W_mRNA	1005	97	732	176
YBR154C_mRNA	854	123	645	86
YBR155W_mRNA	1298	62	1155	81
YBR156C_mRNA	2367	97	2094	176
YBR157C_mRNA	1038	97	765	176
YBR158W_mRNA	2063	263	1647	153
YBR159W_mRNA	1175	44	1041	90
YBR160W_mRNA	1103	112	894	97
YBR161W_mRNA	1401	97	1128	176
YBR162C_mRNA	1638	97	1365	176
YBR162W-A_mRNA	361	53	195	113
YBR163W_mRNA	2028	97	1755	176
YBR164C_mRNA	806	146	549	111
YBR165W_mRNA	1104	97	831	176
YBR166C_mRNA	1500	52	1356	92
YBR167C_mRNA	693	97	420	176
YBR168W_mRNA	1512	97	1239	176
YBR169C_mRNA	2352	97	2079	176
YBR170C_mRNA	1953	50	1740	163
YBR171W_mRNA	802	39	618	145
YBR172C_mRNA	2480	119	2220	141
YBR173C_mRNA	630	39	444	147
YBR174C_mRNA	585	97	312	176
YBR175W_mRNA	1154	97	945	112
YBR176W_mRNA	1181	97	936	148
YBR177C_mRNA	1569	22	1353	194
YBR178W_mRNA	645	97	372	176
YBR179C_mRNA	2838	97	2565	176
YBR180W_mRNA	1989	97	1716	176
YBR181C_mRNA	810	29	708	73
YBR182C_mRNA	1629	97	1356	176
YBR182C-A_mRNA	465	97	192	176
YBR183W_mRNA	1221	97	948	176
YBR184W_mRNA	1842	97	1569	176
YBR185C_mRNA	931	19	834	78
YBR186W_mRNA	1965	97	1692	176
YBR187W_mRNA	1153	122	840	191
YBR188C_mRNA	640	75	420	145
YBR189W_mRNA	738	44	585	109
YBR190W_mRNA	582	97	309	176
YBR191W_mRNA	530	22	480	28
YBR191W-A_mRNA	345	97	72	176
YBR192W_mRNA	1567	163	1131	273
YBR193C_mRNA	1139	41	669	429
YBR194W_mRNA	642	97	369	176
YBR195C_mRNA	1539	97	1266	176
YBR196C_mRNA	1931	102	1662	167
YBR196C-A_mRNA	420	97	147	176
YBR196C-B_mRNA	375	97	102	176
YBR197C_mRNA	1097	11	651	435
YBR198C_mRNA	2667	97	2394	176
YBR199W_mRNA	1621	93	1392	136
YBR200W_mRNA	1974	96	1653	225
YBR200W-A_mRNA	435	97	162	176
YBR201C-A_mRNA	474	97	201	176
YBR201W_mRNA	896	136	633	127
YBR202W_mRNA	2768	65	2535	168
YBR203W_mRNA	3045	97	2772	176
YBR204C_mRNA	1408	66	1125	217
YBR205W_mRNA	1485	97	1212	176
YBR206W_mRNA	594	97	321	176
YBR207W_mRNA	1607	80	1395	132
YBR208C_mRNA	5778	97	5505	176
YBR209W_mRNA	588	97	315	176
YBR210W_mRNA	699	97	426	176
YBR211C_mRNA	1245	97	972	176
YBR212W_mRNA	2289	97	2016	176
YBR213W_mRNA	1095	97	822	176
YBR214W_mRNA	1800	79	1581	140
YBR215W_mRNA	2148	97	1875	176
YBR216C_mRNA	2295	97	2022	176
YBR217W_mRNA	921	51	558	312
YBR218C_mRNA	3780	143	3540	97
YBR219C_mRNA	654	97	381	176
YBR220C_mRNA	1953	97	1680	176
YBR221C_mRNA	1566	232	1098	236
YBR221W-A_mRNA	375	97	102	176
YBR222C_mRNA	1902	97	1629	176
YBR223C_mRNA	1905	97	1632	176
YBR223W-A_mRNA	390	97	117	176
YBR224W_mRNA	786	97	513	176
YBR225W_mRNA	2973	97	2700	176
YBR226C_mRNA	681	97	408	176
YBR227C_mRNA	1833	97	1560	176
YBR228W_mRNA	1185	97	912	176
YBR229C_mRNA	3135	97	2862	176
YBR230C_mRNA	638	66	402	170
YBR230W-A_mRNA	439	78	198	163
YBR231C_mRNA	1044	93	909	42
YBR232C_mRNA	630	97	357	176
YBR233W_mRNA	1452	79	1239	134
YBR233W-A_mRNA	581	39	282	260
YBR234C_mRNA	1249	46	1152	51
YBR235W_mRNA	3541	81	3360	100
YBR236C_mRNA	1509	47	1308	154
YBR237W_mRNA	2820	97	2547	176
YBR238C_mRNA	2466	97	2193	176
YBR239C_mRNA	1860	97	1587	176
YBR240C_mRNA	1623	97	1350	176
YBR241C_mRNA	1737	97	1464	176
YBR242W_mRNA	954	168	714	72
YBR243C_mRNA	1617	97	1344	176
YBR244W_mRNA	844	207	486	151
YBR245C_mRNA	3660	97	3387	176
YBR246W_mRNA	1295	35	1161	99
YBR247C_mRNA	1711	21	1449	241
YBR248C_mRNA	1803	96	1656	51
YBR249C_mRNA	1364	147	1110	107
YBR250W_mRNA	1842	97	1569	176
YBR251W_mRNA	1073	68	921	84
YBR252W_mRNA	546	29	441	76
YBR253W_mRNA	508	50	363	95
YBR254C_mRNA	798	97	525	176
YBR255C-A_mRNA	499	37	360	102
YBR255W_mRNA	2258	36	2082	140
YBR256C_mRNA	830	35	714	81
YBR257W_mRNA	1021	40	837	144
YBR258C_mRNA	493	23	426	44
YBR259W_mRNA	2260	46	2064	150
YBR260C_mRNA	2146	41	1998	107
YBR261C_mRNA	864	37	696	131
YBR262C_mRNA	591	97	318	176
YBR263W_mRNA	1743	97	1470	176
YBR264C_mRNA	870	97	597	176
YBR265W_mRNA	1152	51	960	141
YBR266C_mRNA	723	97	450	176
YBR267W_mRNA	1319	17	1179	123
YBR268W_mRNA	537	30	315	192
YBR269C_mRNA	644	71	414	159
YBR270C_mRNA	1908	97	1635	176
YBR271W_mRNA	1391	26	1257	108
YBR272C_mRNA	1629	15	1440	174
YBR273C_mRNA	1581	97	1308	176
YBR274W_mRNA	1849	50	1581	218
YBR275C_mRNA	6021	97	5748	176
YBR276C_mRNA	2610	116	2421	73
YBR277C_mRNA	672	97	399	176
YBR278W_mRNA	876	97	603	176
YBR279W_mRNA	1530	45	1335	150
YBR280C_mRNA	2106	45	1911	150
YBR281C_mRNA	2907	97	2634	176
YBR282W_mRNA	586	38	438	110
YBR283C_mRNA	1815	190	1470	155
YBR284W_mRNA	2664	97	2391	176
YBR285W_mRNA	705	97	432	176
YBR286W_mRNA	1710	30	1611	69
YBR287W_mRNA	1515	68	1281	166
YBR288C_mRNA	1559	28	1449	82
YBR289W_mRNA	2782	12	2715	55
YBR290W_mRNA	1110	41	963	106
YBR291C_mRNA	1170	97	897	176
YBR292C_mRNA	642	97	369	176
YBR293W_mRNA	1695	97	1422	176
YBR294W_mRNA	2850	97	2577	176
YBR295W_mRNA	3921	97	3648	176
YBR296C_mRNA	2051	78	1722	251
YBR296C-A_mRNA	390	97	117	176
YBR297W_mRNA	1664	39	1404	221
YBR298C_mRNA	2115	97	1842	176
YBR298C-A_mRNA	492	97	219	176
YBR299W_mRNA	2025	97	1752	176
YBR300C_mRNA	768	97	495	176
YBR301W_mRNA	633	97	360	176
YBR302C_mRNA	1410	97	1137	176
YCL001W_mRNA	718	70	564	84
YCL001W-A_mRNA	732	97	459	176
YCL001W-B_mRNA	525	97	252	176
YCL002C_mRNA	899	25	789	85
YCL004W_mRNA	1681	78	1563	40
YCL005W_mRNA	1041	97	768	176
YCL005W-A_mRNA	378	25	219	134
YCL007C_mRNA	663	97	390	176
YCL008C_mRNA	1428	97	1155	176
YCL009C_mRNA	1095	46	927	122
YCL010C_mRNA	1050	97	777	176
YCL011C_mRNA	1393	49	1281	63
YCL012C_mRNA	584	41	402	141
YCL014W_mRNA	5181	97	4908	176
YCL016C_mRNA	1413	97	1140	176
YCL017C_mRNA	1950	115	1491	344
YCL018W_mRNA	1365	97	1092	176
YCL021W-A_mRNA	648	97	375	176
YCL022C_mRNA	786	97	513	176
YCL023C_mRNA	618	97	345	176
YCL024W_mRNA	3384	97	3111	176
YCL025C_mRNA	2026	31	1899	96
YCL026C-A_mRNA	852	97	579	176
YCL026C-B_mRNA	852	97	579	176
YCL027W_mRNA	1809	97	1536	176
YCL028W_mRNA	1365	59	1215	91
YCL029C_mRNA	1593	97	1320	176
YCL030C_mRNA	2562	60	2397	105
YCL031C_mRNA	1020	33	891	96
YCL032W_mRNA	1311	97	1038	176
YCL033C_mRNA	777	97	504	176
YCL034W_mRNA	1335	97	1062	176
YCL035C_mRNA	523	64	330	129
YCL036W_mRNA	1971	97	1698	176
YCL037C_mRNA	1575	97	1302	176
YCL038C_mRNA	1749	84	1584	81
YCL039W_mRNA	2508	97	2235	176
YCL040W_mRNA	1732	51	1500	181
YCL041C_mRNA	765	97	492	176
YCL042W_mRNA	630	97	357	176
YCL043C_mRNA	1708	65	1566	77
YCL044C_mRNA	1464	41	1251	172
YCL045C_mRNA	2362	40	2280	42
YCL046W_mRNA	594	97	321	176
YCL047C_mRNA	1047	97	774	176
YCL048W_mRNA	1662	97	1389	176
YCL048W-A_mRNA	510	97	237	176
YCL049C_mRNA	1138	55	936	147
YCL050C_mRNA	1114	62	963	89
YCL051W_mRNA	2022	97	1749	176
YCL052C_mRNA	1521	97	1248	176
YCL054W_mRNA	2675	31	2523	121
YCL054W-A_mRNA	357	97	84	176
YCL055W_mRNA	1223	36	1005	182
YCL056C_mRNA	484	34	432	18
YCL057C-A_mRNA	531	52	291	188
YCL057W_mRNA	2276	8	2136	132
YCL058C_mRNA	729	97	456	176
YCL058W-A_mRNA	429	22	339	68
YCL059C_mRNA	1107	50	948	109
YCL061C_mRNA	3561	97	3288	176
YCL063W_mRNA	1465	40	1269	156
YCL064C_mRNA	1353	97	1080	176
YCL065W_mRNA	639	97	366	176
YCL066W_mRNA	798	97	525	176
YCL067C_mRNA	903	97	630	176
YCL068C_mRNA	1053	97	780	176
YCL069W_mRNA	1647	97	1374	176
YCL073C_mRNA	2118	97	1845	176
YCL076W_mRNA	1014	97	741	176
YCR001W_mRNA	585	97	312	176
YCR002C_mRNA	1239	97	966	176
YCR003W_mRNA	702	31	549	122
YCR004C_mRNA	1107	200	741	166
YCR005C_mRNA	1568	60	1380	128
YCR006C_mRNA	744	97	471	176
YCR007C_mRNA	1029	229	717	83
YCR008W_mRNA	2082	97	1809	176
YCR009C_mRNA	1068	97	795	176
YCR010C_mRNA	1122	97	849	176
YCR011C_mRNA	3358	151	3147	60
YCR012W_mRNA	1459	40	1248	171
YCR013C_mRNA	918	97	645	176
YCR014C_mRNA	2019	97	1746	176
YCR015C_mRNA	1224	97	951	176
YCR016W_mRNA	1074	32	870	172
YCR017C_mRNA	3099	52	2859	188
YCR018C_mRNA	936	97	663	176
YCR018C-A_mRNA	525	97	252	176
YCR019W_mRNA	1362	97	1089	176
YCR020C_mRNA	918	97	645	176
YCR020C-A_mRNA	537	97	264	176
YCR020W-B_mRNA	752	41	234	477
YCR021C_mRNA	1269	97	996	176
YCR022C_mRNA	615	97	342	176
YCR023C_mRNA	2154	84	1833	237
YCR024C_mRNA	1749	97	1476	176
YCR024C-A_mRNA	393	97	120	176
YCR024C-B_mRNA	537	97	264	176
YCR025C_mRNA	681	97	408	176
YCR026C_mRNA	2518	74	2226	218
YCR027C_mRNA	900	97	627	176
YCR028C_mRNA	2368	99	1536	733
YCR028C-A_mRNA	700	87	405	208
YCR030C_mRNA	2883	97	2610	176
YCR031C_mRNA	610	60	411	139
YCR032W_mRNA	6774	97	6501	176
YCR033W_mRNA	3951	97	3678	176
YCR034W_mRNA	1324	40	1041	243
YCR035C_mRNA	1367	29	1182	156
