"transcript"	"l_tr"	"l_utr5"	"l_cds"	"l_utr3"	"nis_pos"
"YAR009C_mRNA"	3861	97	3588	176	34
"YAR010C_mRNA"	1593	97	1320	176	22
"YAR014C_mRNA"	2400	97	2127	176	100
"YAR015W_mRNA"	1137	116	918	103	46
"YAR018C_mRNA"	1578	97	1305	176	13
"YAR019C_mRNA"	3195	97	2922	176	43
"YAR019W-A_mRNA"	603	97	330	176	22
"YAR020C_mRNA"	438	97	165	176	Inf
"YAR023C_mRNA"	810	97	537	176	85
"YAR027W_mRNA"	968	82	705	181	112
"YAR028W_mRNA"	954	51	702	201	91
"YAR029W_mRNA"	495	97	222	176	16
"YAR030C_mRNA"	612	97	339	176	142
"YAR031W_mRNA"	1167	97	894	176	22
"YAR033W_mRNA"	975	97	702	176	40
"YAR035W_mRNA"	2334	97	2061	176	76
"YAR035C-A_mRNA"	351	97	78	176	10
"YAR042W_mRNA"	3837	97	3564	176	88
"YAR047C_mRNA"	591	97	318	176	10
"YAR050W_mRNA"	4884	97	4611	176	4
"YAR053W_mRNA"	567	97	294	176	58
"YAR060C_mRNA"	606	97	333	176	31
"YAR064W_mRNA"	570	97	297	176	13
"YAR066W_mRNA"	882	97	609	176	Inf
"YAR068W_mRNA"	756	97	483	176	16
"YAR069C_mRNA"	564	97	291	176	13
"YAR070C_mRNA"	570	97	297	176	157
"YAR071W_mRNA"	1674	97	1401	176	22
"YAR073W_mRNA"	1482	97	1209	176	22
"YAR075W_mRNA"	744	97	471	176	91
"YBL113C_mRNA"	2649	97	2376	176	49
"YBL113W-A_mRNA"	753	97	480	176	88
"YBL112C_mRNA"	588	97	315	176	40
"YBL111C_mRNA"	2274	97	2001	176	7
"YBL109W_mRNA"	606	97	333	176	16
"YBL108C-A_mRNA"	399	97	126	176	40
"YBL108W_mRNA"	576	97	303	176	43
"YBL107W-A_mRNA"	375	97	102	176	7
"YBL107C_mRNA"	745	11	588	146	43
"YBL106C_mRNA"	3303	97	3030	176	70
"YBL105C_mRNA"	3726	97	3453	176	61
"YBL104C_mRNA"	3212	4	3114	94	Inf
"YBL103C_mRNA"	1731	97	1458	176	31
"YBL102W_mRNA"	941	118	645	178	25
"YBL101C_mRNA"	3624	97	3351	176	28
"YBL100W-C_mRNA"	390	97	117	176	40
"YBL099W_mRNA"	2224	320	1635	269	19
"YBL100C_mRNA"	585	97	312	176	22
"YBL098W_mRNA"	1653	97	1380	176	34
"YBL097W_mRNA"	2535	97	2262	176	118
"YBL096C_mRNA"	579	97	306	176	13
"YBL095W_mRNA"	957	26	810	121	25
"YBL094C_mRNA"	603	97	330	176	82
"YBL093C_mRNA"	909	110	660	139	37
"YBL092W_mRNA"	643	97	390	156	10
"YBL091C-A_mRNA"	798	97	525	176	82
"YBL091C_mRNA"	1463	51	1263	149	43
"YBL090W_mRNA"	704	47	531	126	67
"YBL089W_mRNA"	1650	97	1377	176	31
"YBL088C_mRNA"	8634	97	8361	176	Inf
"YBL087C_mRNA"	639	109	411	119	31
"YBL086C_mRNA"	1563	115	1398	50	Inf
"YBL085W_mRNA"	3213	97	2940	176	28
"YBL084C_mRNA"	2547	97	2274	176	31
"YBL083C_mRNA"	696	97	423	176	43
"YBL082C_mRNA"	1647	97	1374	176	25
"YBL081W_mRNA"	1377	97	1104	176	40
"YBL080C_mRNA"	1896	97	1623	176	25
"YBL079W_mRNA"	4779	97	4506	176	22
"YBL078C_mRNA"	870	44	351	475	13
"YBL077W_mRNA"	702	97	429	176	Inf
"YBL076C_mRNA"	3336	16	3216	104	16
"YBL075C_mRNA"	2220	97	1947	176	136
"YBL074C_mRNA"	1338	97	1065	176	37
"YBL073W_mRNA"	582	97	309	176	25
"YBL072C_mRNA"	738	104	600	34	10
"YBL071C-B_mRNA"	369	97	96	176	43
"YBL071W-A_mRNA"	543	43	246	254	7
"YBL071C_mRNA"	579	97	306	176	49
"YBL070C_mRNA"	591	97	318	176	73
"YBL069W_mRNA"	1560	97	1287	176	37
"YBL068W-A_mRNA"	507	97	234	176	37
"YBL068W_mRNA"	1106	42	978	86	28
"YBL067C_mRNA"	2514	97	2241	176	28
"YBL066C_mRNA"	3717	97	3444	176	55
"YBL065W_mRNA"	615	97	342	176	43
"YBL064C_mRNA"	870	32	783	55	13
"YBL063W_mRNA"	3606	97	3333	176	46
"YBL062W_mRNA"	651	97	378	176	Inf
"YBL061C_mRNA"	2292	109	2088	95	34
"YBL060W_mRNA"	2334	97	2061	176	19
"YBL059C-A_mRNA"	580	32	327	221	61
"YBL059W_mRNA"	852	97	579	176	64
"YBL058W_mRNA"	1423	34	1269	120	7
"YBL057C_mRNA"	719	25	624	70	58
"YBL056W_mRNA"	1929	126	1404	399	4
"YBL055C_mRNA"	1741	390	1254	97	40
"YBL054W_mRNA"	1886	115	1575	196	19
"YBL052C_mRNA"	2766	97	2493	176	28
"YBL053W_mRNA"	645	97	372	176	52
"YBL051C_mRNA"	2277	97	2004	176	91
"YBL050W_mRNA"	1023	77	876	70	Inf
"YBL049W_mRNA"	687	97	414	176	25
"YBL048W_mRNA"	582	97	309	176	46
"YBL047C_mRNA"	4416	97	4143	176	103
"YBL046W_mRNA"	1596	97	1323	176	43
"YBL045C_mRNA"	1644	97	1371	176	10
"YBL044W_mRNA"	639	97	366	176	37
"YBL043W_mRNA"	1044	97	771	176	100
"YBL042C_mRNA"	2165	61	1917	187	70
"YBL041W_mRNA"	908	41	723	144	22
"YBL040C_mRNA"	780	43	657	80	19
"YBL039W-B_mRNA"	651	294	177	180	25
"YBL039C_mRNA"	2010	97	1737	176	151
"YBL039C-A_mRNA"	354	97	81	176	25
"YBL038W_mRNA"	835	70	696	69	10
"YBL037W_mRNA"	3348	97	3075	176	52
"YBL036C_mRNA"	908	13	771	124	4
"YBL035C_mRNA"	2388	97	2115	176	10
"YBL034C_mRNA"	4812	97	4539	176	16
"YBL033C_mRNA"	1128	28	1035	65	13
"YBL032W_mRNA"	1395	60	1143	192	55
"YBL031W_mRNA"	1287	97	1014	176	82
"YBL030C_mRNA"	1379	148	954	277	7
"YBL029C-A_mRNA"	533	125	282	126	4
"YBL029W_mRNA"	1401	97	1128	176	154
"YBL028C_mRNA"	560	47	318	195	4
"YBL027W_mRNA"	770	52	567	151	19
"YBL026W_mRNA"	516	76	285	155	73
"YBL025W_mRNA"	708	97	435	176	7
"YBL024W_mRNA"	2325	97	2052	176	4
"YBL023C_mRNA"	2877	97	2604	176	34
"YBL022C_mRNA"	3617	133	3399	85	13
"YBL021C_mRNA"	638	47	432	159	22
"YBL020W_mRNA"	1877	72	1722	83	19
"YBL019W_mRNA"	1833	97	1560	176	7
"YBL018C_mRNA"	566	70	399	97	37
"YBL017C_mRNA"	5010	97	4737	176	19
"YBL016W_mRNA"	1332	97	1059	176	82
"YBL015W_mRNA"	1851	97	1578	176	34
"YBL014C_mRNA"	2834	39	2682	113	37
"YBL013W_mRNA"	1476	97	1203	176	25
"YBL012C_mRNA"	672	97	399	176	55
"YBL011W_mRNA"	2586	101	2277	208	37
"YBL010C_mRNA"	1071	20	840	211	40
"YBL009W_mRNA"	2301	97	2028	176	85
"YBL008W-A_mRNA"	510	97	237	176	4
"YBL008W_mRNA"	2793	97	2520	176	4
"YBL007C_mRNA"	3946	52	3732	162	16
"YBL006C_mRNA"	720	21	540	159	10
"YBL006W-A_mRNA"	420	97	147	176	76
"YBL005W_mRNA"	3201	97	2928	176	70
"YBL004W_mRNA"	7752	97	7479	176	7
"YBL003C_mRNA"	652	74	396	182	13
"YBL002W_mRNA"	693	34	393	266	13
"YBL001C_mRNA"	633	70	312	251	13
"YBR001C_mRNA"	2551	139	2340	72	7
"YBR002C_mRNA"	1131	97	858	176	37
"YBR003W_mRNA"	1569	20	1419	130	34
"YBR004C_mRNA"	1452	57	1299	96	34
"YBR005W_mRNA"	912	97	639	176	133
"YBR006W_mRNA"	1764	97	1491	176	79
"YBR007C_mRNA"	2481	97	2208	176	7
"YBR008C_mRNA"	1917	97	1644	176	31
"YBR009C_mRNA"	504	44	309	151	10
"YBR010W_mRNA"	643	28	408	207	25
"YBR011C_mRNA"	984	31	861	92	16
"YBR012C_mRNA"	690	97	417	176	79
"YBR013C_mRNA"	660	97	387	176	16
"YBR014C_mRNA"	882	97	609	176	13
"YBR015C_mRNA"	2055	137	1791	127	106
"YBR016W_mRNA"	662	36	384	242	142
"YBR017C_mRNA"	2896	62	2754	80	Inf
"YBR018C_mRNA"	1371	97	1098	176	172
"YBR019C_mRNA"	2370	97	2097	176	70
"YBR020W_mRNA"	1857	97	1584	176	58
"YBR021W_mRNA"	2151	111	1899	141	64
"YBR022W_mRNA"	671	19	531	121	10
"YBR023C_mRNA"	3768	97	3495	176	10
"YBR024W_mRNA"	1235	113	903	219	31
"YBR025C_mRNA"	1559	78	1182	299	40
"YBR026C_mRNA"	1413	97	1140	176	10
"YBR027C_mRNA"	603	97	330	176	91
"YBR028C_mRNA"	1848	97	1575	176	13
"YBR029C_mRNA"	1644	97	1371	176	7
"YBR030W_mRNA"	1802	66	1656	80	58
"YBR031W_mRNA"	1285	60	1086	139	10
"YBR032W_mRNA"	573	97	300	176	4
"YBR033W_mRNA"	3030	97	2757	176	10
"YBR034C_mRNA"	1276	46	1044	186	46
"YBR035C_mRNA"	852	35	684	133	40
"YBR036C_mRNA"	1503	97	1230	176	28
"YBR037C_mRNA"	1158	97	885	176	52
"YBR038W_mRNA"	3129	51	2889	189	157
"YBR039W_mRNA"	1193	79	933	181	4
"YBR040W_mRNA"	1167	97	894	176	25
"YBR041W_mRNA"	2280	97	2007	176	25
"YBR042C_mRNA"	1464	97	1191	176	7
"YBR043C_mRNA"	2340	97	2067	176	82
"YBR044C_mRNA"	1868	91	1716	61	28
"YBR045C_mRNA"	2190	97	1917	176	37
"YBR046C_mRNA"	1275	97	1002	176	88
"YBR047W_mRNA"	798	97	525	176	13
"YBR048W_mRNA"	795	94	468	233	28
"YBR049C_mRNA"	2809	131	2430	248	16
"YBR050C_mRNA"	1287	97	1014	176	28
"YBR051W_mRNA"	621	97	348	176	64
"YBR052C_mRNA"	776	94	630	52	Inf
"YBR053C_mRNA"	1347	97	1074	176	67
"YBR054W_mRNA"	1716	320	1032	364	10
"YBR055C_mRNA"	2970	97	2697	176	76
"YBR056W_mRNA"	1610	60	1503	47	Inf
"YBR056C-B_mRNA"	429	97	156	176	4
"YBR056W-A_mRNA"	723	27	198	498	106
"YBR057C_mRNA"	1338	99	1098	141	88
"YBR058C_mRNA"	2616	97	2343	176	97
"YBR058C-A_mRNA"	486	59	240	187	40
"YBR059C_mRNA"	3597	97	3324	176	13
"YBR060C_mRNA"	1988	92	1860	36	28
"YBR061C_mRNA"	1135	24	930	181	22
"YBR062C_mRNA"	813	97	540	176	43
"YBR063C_mRNA"	1485	97	1212	176	16
"YBR064W_mRNA"	699	97	426	176	97
"YBR065C_mRNA"	1365	97	1092	176	46
"YBR066C_mRNA"	933	97	660	176	10
"YBR067C_mRNA"	856	78	630	148	73
"YBR068C_mRNA"	2109	77	1827	205	7
"YBR069C_mRNA"	2084	115	1857	112	Inf
"YBR070C_mRNA"	814	64	711	39	Inf
"YBR071W_mRNA"	1012	111	633	268	16
"YBR072W_mRNA"	915	97	642	176	19
"YBR072C-A_mRNA"	432	97	159	176	46
"YBR073W_mRNA"	3147	97	2874	176	28
"YBR074W_mRNA"	3033	5	2928	100	7
"YBR076W_mRNA"	1335	97	1062	176	31
"YBR076C-A_mRNA"	537	97	264	176	133
"YBR077C_mRNA"	759	97	486	176	10
"YBR078W_mRNA"	1627	176	1287	164	7
"YBR079C_mRNA"	2985	25	2892	68	52
"YBR080C_mRNA"	2492	42	2274	176	Inf
"YBR081C_mRNA"	4269	97	3996	176	4
"YBR082C_mRNA"	704	112	444	148	Inf
"YBR083W_mRNA"	1731	97	1458	176	34
"YBR084W_mRNA"	3158	69	2925	164	79
"YBR084C-A_mRNA"	797	128	567	102	16
"YBR085W_mRNA"	1199	109	921	169	13
"YBR085C-A_mRNA"	730	101	255	374	13
"YBR086C_mRNA"	3239	280	2838	121	46
"YBR087W_mRNA"	1150	30	1062	58	46
"YBR088C_mRNA"	918	48	774	96	7
"YBR089W_mRNA"	870	97	597	176	13
"YBR089C-A_mRNA"	597	124	297	176	46
"YBR090C_mRNA"	639	97	366	176	16
"YBR091C_mRNA"	447	27	327	93	7
"YBR092C_mRNA"	1571	29	1401	141	10
"YBR093C_mRNA"	1528	41	1401	86	19
"YBR094W_mRNA"	2401	51	2259	91	64
"YBR095C_mRNA"	1563	97	1290	176	64
"YBR096W_mRNA"	843	82	690	71	Inf
"YBR097W_mRNA"	4635	97	4362	176	34
"YBR098W_mRNA"	2346	97	2073	176	4
"YBR099C_mRNA"	654	97	381	176	49
"YBR101C_mRNA"	998	50	870	78	13
"YBR102C_mRNA"	2445	64	2259	122	52
"YBR103W_mRNA"	1878	97	1605	176	4
"YBR103C-A_mRNA"	414	97	141	176	22
"YBR104W_mRNA"	1186	88	987	111	31
"YBR105C_mRNA"	1237	31	1086	120	94
"YBR106W_mRNA"	782	75	564	143	34
"YBR107C_mRNA"	1008	97	735	176	130
"YBR108W_mRNA"	3114	97	2841	176	4
"YBR109C_mRNA"	728	86	441	201	85
"YBR109W-A_mRNA"	495	97	222	176	7
"YBR110W_mRNA"	1620	97	1347	176	31
"YBR111C_mRNA"	761	8	693	60	28
"YBR111W-A_mRNA"	490	41	288	161	82
"YBR112C_mRNA"	3171	97	2898	176	130
"YBR113W_mRNA"	753	97	480	176	4
"YBR114W_mRNA"	2515	88	2370	57	46
"YBR115C_mRNA"	4449	97	4176	176	7
"YBR116C_mRNA"	798	97	525	176	55
"YBR117C_mRNA"	2316	97	2043	176	7
"YBR118W_mRNA"	1579	112	1374	93	7
"YBR119W_mRNA"	1087	70	894	123	58
"YBR120C_mRNA"	632	70	486	76	28
"YBR121C_mRNA"	2274	97	2001	176	82
"YBR121C-A_mRNA"	429	97	156	176	4
"YBR122C_mRNA"	786	44	531	211	199
"YBR123C_mRNA"	2088	68	1947	73	4
"YBR124W_mRNA"	630	97	357	176	16
"YBR125C_mRNA"	1452	97	1179	176	82
"YBR126C_mRNA"	1712	107	1485	120	4
"YBR126W-A_mRNA"	477	97	204	176	Inf
"YBR126W-B_mRNA"	414	97	141	176	13
"YBR127C_mRNA"	1762	64	1551	147	16
"YBR128C_mRNA"	1305	97	1032	176	55
"YBR129C_mRNA"	1094	35	984	75	28
"YBR130C_mRNA"	1450	69	1275	106	43
"YBR131W_mRNA"	2385	97	2112	176	16
"YBR131C-A_mRNA"	360	97	87	176	58
"YBR132C_mRNA"	2061	97	1788	176	37
"YBR133C_mRNA"	2754	97	2481	176	Inf
"YBR134W_mRNA"	672	97	399	176	82
"YBR135W_mRNA"	723	97	450	176	7
"YBR136W_mRNA"	7377	97	7104	176	43
"YBR137W_mRNA"	781	101	537	143	13
"YBR138C_mRNA"	1845	97	1572	176	109
"YBR139W_mRNA"	1708	11	1524	173	4
"YBR140C_mRNA"	9549	97	9276	176	7
"YBR141C_mRNA"	1284	97	1011	176	73
"YBR141W-A_mRNA"	366	97	93	176	58
"YBR142W_mRNA"	2592	97	2319	176	16
"YBR143C_mRNA"	1584	97	1311	176	52
"YBR144C_mRNA"	585	97	312	176	4
"YBR145W_mRNA"	1219	62	1053	104	46
"YBR146W_mRNA"	1111	72	834	205	7
"YBR147W_mRNA"	1161	97	888	176	19
"YBR148W_mRNA"	2100	97	1827	176	43
"YBR149W_mRNA"	1196	59	1032	105	82
"YBR150C_mRNA"	3555	97	3282	176	31
"YBR151W_mRNA"	1232	146	948	138	73
"YBR152W_mRNA"	1146	97	873	176	Inf
"YBR153W_mRNA"	1005	97	732	176	4
"YBR154C_mRNA"	854	123	645	86	37
"YBR155W_mRNA"	1298	62	1155	81	13
"YBR156C_mRNA"	2367	97	2094	176	40
"YBR157C_mRNA"	1038	97	765	176	43
"YBR158W_mRNA"	2063	263	1647	153	100
"YBR159W_mRNA"	1175	44	1041	90	Inf
"YBR160W_mRNA"	1103	112	894	97	10
"YBR161W_mRNA"	1401	97	1128	176	37
"YBR162C_mRNA"	1638	97	1365	176	19
"YBR162W-A_mRNA"	361	53	195	113	25
"YBR163W_mRNA"	2028	97	1755	176	37
"YBR164C_mRNA"	806	146	549	111	7
"YBR165W_mRNA"	1104	97	831	176	25
"YBR166C_mRNA"	1500	52	1356	92	10
"YBR167C_mRNA"	693	97	420	176	46
"YBR168W_mRNA"	1512	97	1239	176	4
"YBR169C_mRNA"	2352	97	2079	176	52
"YBR170C_mRNA"	1953	50	1740	163	13
"YBR171W_mRNA"	802	39	618	145	91
"YBR172C_mRNA"	2480	119	2220	141	76
"YBR173C_mRNA"	630	39	444	147	46
"YBR174C_mRNA"	585	97	312	176	76
"YBR175W_mRNA"	1154	97	945	112	73
"YBR176W_mRNA"	1181	97	936	148	10
"YBR177C_mRNA"	1569	22	1353	194	70
"YBR178W_mRNA"	645	97	372	176	16
"YBR179C_mRNA"	2838	97	2565	176	13
"YBR180W_mRNA"	1989	97	1716	176	19
"YBR181C_mRNA"	810	29	708	73	22
"YBR182C_mRNA"	1629	97	1356	176	4
"YBR182C-A_mRNA"	465	97	192	176	34
"YBR183W_mRNA"	1221	97	948	176	4
"YBR184W_mRNA"	1842	97	1569	176	97
"YBR185C_mRNA"	931	19	834	78	64
"YBR186W_mRNA"	1965	97	1692	176	55
"YBR187W_mRNA"	1153	122	840	191	13
"YBR188C_mRNA"	640	75	420	145	67
"YBR189W_mRNA"	738	44	585	109	13
"YBR190W_mRNA"	582	97	309	176	25
"YBR191W_mRNA"	530	22	480	28	Inf
"YBR191W-A_mRNA"	345	97	72	176	4
"YBR192W_mRNA"	1567	163	1131	273	7
"YBR193C_mRNA"	1139	41	669	429	94
"YBR194W_mRNA"	642	97	369	176	22
"YBR195C_mRNA"	1539	97	1266	176	67
"YBR196C_mRNA"	1931	102	1662	167	16
"YBR196C-A_mRNA"	420	97	147	176	103
"YBR196C-B_mRNA"	375	97	102	176	91
"YBR197C_mRNA"	1097	11	651	435	4
"YBR198C_mRNA"	2667	97	2394	176	34
"YBR199W_mRNA"	1621	93	1392	136	10
"YBR200W_mRNA"	1974	96	1653	225	7
"YBR200W-A_mRNA"	435	97	162	176	19
"YBR201W_mRNA"	896	136	633	127	70
"YBR201C-A_mRNA"	474	97	201	176	112
"YBR202W_mRNA"	2768	65	2535	168	10
"YBR203W_mRNA"	3045	97	2772	176	85
"YBR204C_mRNA"	1408	66	1125	217	13
"YBR205W_mRNA"	1485	97	1212	176	19
"YBR206W_mRNA"	594	97	321	176	4
"YBR207W_mRNA"	1607	80	1395	132	22
"YBR208C_mRNA"	5778	97	5505	176	79
"YBR209W_mRNA"	588	97	315	176	7
"YBR210W_mRNA"	699	97	426	176	4
"YBR211C_mRNA"	1245	97	972	176	109
"YBR212W_mRNA"	2289	97	2016	176	82
"YBR213W_mRNA"	1095	97	822	176	Inf
"YBR214W_mRNA"	1800	79	1581	140	70
"YBR215W_mRNA"	2148	97	1875	176	49
"YBR216C_mRNA"	2295	97	2022	176	91
"YBR217W_mRNA"	921	51	558	312	223
"YBR218C_mRNA"	3780	143	3540	97	28
"YBR219C_mRNA"	654	97	381	176	46
"YBR220C_mRNA"	1953	97	1680	176	109
"YBR221C_mRNA"	1566	232	1098	236	43
"YBR221W-A_mRNA"	375	97	102	176	10
"YBR222C_mRNA"	1902	97	1629	176	Inf
"YBR223C_mRNA"	1905	97	1632	176	151
"YBR223W-A_mRNA"	390	97	117	176	19
"YBR224W_mRNA"	786	97	513	176	19
"YBR225W_mRNA"	2973	97	2700	176	79
"YBR226C_mRNA"	681	97	408	176	Inf
"YBR227C_mRNA"	1833	97	1560	176	Inf
"YBR228W_mRNA"	1185	97	912	176	37
"YBR229C_mRNA"	3135	97	2862	176	19
"YBR230C_mRNA"	638	66	402	170	4
"YBR230W-A_mRNA"	439	78	198	163	82
"YBR231C_mRNA"	1044	93	909	42	25
"YBR232C_mRNA"	630	97	357	176	10
"YBR233W_mRNA"	1452	79	1239	134	13
"YBR233W-A_mRNA"	581	39	282	260	22
"YBR234C_mRNA"	1249	46	1152	51	Inf
"YBR235W_mRNA"	3541	81	3360	100	64
"YBR236C_mRNA"	1509	47	1308	154	16
"YBR237W_mRNA"	2820	97	2547	176	76
"YBR238C_mRNA"	2466	97	2193	176	7
"YBR239C_mRNA"	1860	97	1587	176	46
"YBR240C_mRNA"	1623	97	1350	176	10
"YBR241C_mRNA"	1737	97	1464	176	151
"YBR242W_mRNA"	954	168	714	72	10
"YBR243C_mRNA"	1617	97	1344	176	37
"YBR244W_mRNA"	844	207	486	151	16
"YBR245C_mRNA"	3660	97	3387	176	70
"YBR246W_mRNA"	1295	35	1161	99	34
"YBR247C_mRNA"	1711	21	1449	241	Inf
"YBR248C_mRNA"	1803	96	1656	51	Inf
"YBR249C_mRNA"	1364	147	1110	107	13
"YBR250W_mRNA"	1842	97	1569	176	157
"YBR251W_mRNA"	1073	68	921	84	Inf
"YBR252W_mRNA"	546	29	441	76	40
"YBR253W_mRNA"	508	50	363	95	73
"YBR254C_mRNA"	798	97	525	176	16
"YBR255W_mRNA"	2258	36	2082	140	Inf
"YBR255C-A_mRNA"	499	37	360	102	61
"YBR256C_mRNA"	830	35	714	81	19
"YBR257W_mRNA"	1021	40	837	144	4
"YBR258C_mRNA"	493	23	426	44	4
"YBR259W_mRNA"	2260	46	2064	150	10
"YBR260C_mRNA"	2146	41	1998	107	7
"YBR261C_mRNA"	864	37	696	131	76
"YBR262C_mRNA"	591	97	318	176	58
"YBR263W_mRNA"	1743	97	1470	176	16
"YBR264C_mRNA"	870	97	597	176	145
"YBR265W_mRNA"	1152	51	960	141	37
"YBR266C_mRNA"	723	97	450	176	79
"YBR267W_mRNA"	1319	17	1179	123	25
"YBR268W_mRNA"	537	30	315	192	82
"YBR269C_mRNA"	644	71	414	159	25
"YBR270C_mRNA"	1908	97	1635	176	31
"YBR271W_mRNA"	1391	26	1257	108	25
"YBR272C_mRNA"	1629	15	1440	174	46
"YBR273C_mRNA"	1581	97	1308	176	34
"YBR274W_mRNA"	1849	50	1581	218	28
"YBR275C_mRNA"	6021	97	5748	176	112
"YBR276C_mRNA"	2610	116	2421	73	Inf
"YBR277C_mRNA"	672	97	399	176	4
"YBR278W_mRNA"	876	97	603	176	100
"YBR279W_mRNA"	1530	45	1335	150	16
"YBR280C_mRNA"	2106	45	1911	150	79
"YBR281C_mRNA"	2907	97	2634	176	19
"YBR282W_mRNA"	586	38	438	110	34
"YBR283C_mRNA"	1815	190	1470	155	121
"YBR284W_mRNA"	2664	97	2391	176	37
"YBR285W_mRNA"	705	97	432	176	10
"YBR286W_mRNA"	1710	30	1611	69	Inf
"YBR287W_mRNA"	1515	68	1281	166	37
"YBR288C_mRNA"	1559	28	1449	82	46
"YBR289W_mRNA"	2782	12	2715	55	22
"YBR290W_mRNA"	1110	41	963	106	37
"YBR291C_mRNA"	1170	97	897	176	76
"YBR292C_mRNA"	642	97	369	176	19
"YBR293W_mRNA"	1695	97	1422	176	37
"YBR294W_mRNA"	2850	97	2577	176	13
"YBR295W_mRNA"	3921	97	3648	176	61
"YBR296C_mRNA"	2051	78	1722	251	7
"YBR296C-A_mRNA"	390	97	117	176	94
